sidoname,cityname,pm10value,pm25value,datetime
경북,의성군,33,22,2022-02-24T11:00:00.000Z
경북,청도군,17,12,2022-02-24T11:00:00.000Z
경북,청송군,24,10,2022-02-24T11:00:00.000Z
경북,칠곡군,26,11,2022-02-24T11:00:00.000Z
경북,포항시,28,10,2022-02-24T11:00:00.000Z
경북,경산시,52,20,2022-02-26T17:00:00.000Z
경북,경주시,50,31,2022-02-26T17:00:00.000Z
경북,고령군,43,20,2022-02-26T17:00:00.000Z
경북,구미시,44,24,2022-02-26T17:00:00.000Z
경북,군위군,42,25,2022-02-26T17:00:00.000Z
강원,인제군,24,13,2022-02-23T23:00:00.000Z
강원,정선군,31,10,2022-02-23T23:00:00.000Z
강원,철원군,42,13,2022-02-23T23:00:00.000Z
강원,춘천시,32,20,2022-02-23T23:00:00.000Z
강원,태백시,24,11,2022-02-23T23:00:00.000Z
강원,평창군,25,16,2022-02-23T23:00:00.000Z
강원,홍천군,38,19,2022-02-23T23:00:00.000Z
강원,화천군,34,20,2022-02-23T23:00:00.000Z
강원,횡성군,31,20,2022-02-23T23:00:00.000Z
강원,강릉시,25,14,2022-02-23T23:00:00.000Z
강원,고성군,21,16,2022-02-23T23:00:00.000Z
강원,동해시,22,19,2022-02-23T23:00:00.000Z
강원,삼척시,19,10,2022-02-23T23:00:00.000Z
강원,속초시,19,9,2022-02-23T23:00:00.000Z
강원,양구군,29,16,2022-02-23T23:00:00.000Z
강원,양양군,17,12,2022-02-23T23:00:00.000Z
강원,영월군,28,19,2022-02-23T23:00:00.000Z
강원,원주시,29,18,2022-02-23T23:00:00.000Z
강원,인제군,90,49,2022-02-26T17:00:00.000Z
강원,정선군,83,39,2022-02-26T17:00:00.000Z
강원,철원군,66,38,2022-02-26T17:00:00.000Z
강원,춘천시,58,43,2022-02-26T17:00:00.000Z
강원,태백시,50,26,2022-02-26T17:00:00.000Z
강원,평창군,63,34,2022-02-26T17:00:00.000Z
강원,홍천군,81,39,2022-02-26T17:00:00.000Z
강원,화천군,74,50,2022-02-26T17:00:00.000Z
강원,횡성군,63,40,2022-02-26T17:00:00.000Z
강원,인제군,96,64,2022-02-26T15:00:00.000Z
강원,정선군,77,40,2022-02-26T15:00:00.000Z
강원,철원군,73,45,2022-02-26T15:00:00.000Z
강원,춘천시,70,55,2022-02-26T15:00:00.000Z
강원,태백시,59,26,2022-02-26T15:00:00.000Z
강원,평창군,65,34,2022-02-26T15:00:00.000Z
강원,홍천군,88,57,2022-02-26T15:00:00.000Z
